Sequential	Short	Long	DataPack file	Profile table	Column heading description in profile
P125	Vis_from_Same_SA2_15_24	Visitor_from_Same_Statistical_Area_Level_2_SA2_Age_15_24_years	P03	P03	15-24 years
P126	Vis_from_Same_SA2_25_34	Visitor_from_Same_Statistical_Area_Level_2_SA2_Age_25_34_years	P03	P03	25-34 years
P127	Vis_from_Same_SA2_35_44	Visitor_from_Same_Statistical_Area_Level_2_SA2_Age_35_44_years	P03	P03	35-44 years
P128	Vis_from_Same_SA2_45_54	Visitor_from_Same_Statistical_Area_Level_2_SA2_Age_45_54_years	P03	P03	45-54 years
P129	Vis_from_Same_SA2_55_64	Visitor_from_Same_Statistical_Area_Level_2_SA2_Age_55_64_years	P03	P03	55-64 years
P130	Vis_from_Same_SA2_65_74	Visitor_from_Same_Statistical_Area_Level_2_SA2_Age_65_74_years	P03	P03	65-74 years
P131	Vis_from_Same_SA2_75_84	Visitor_from_Same_Statistical_Area_Level_2_SA2_Age_75_84_years	P03	P03	75-84 years
P132	Vis_from_Same_SA2_85	Visitor_from_Same_Statistical_Area_Level_2_SA2_Age_85_years_and_over	P03	P03	85 years and over
P133	Vis_from_Same_SA2_Tot	Visitor_from_Same_Statistical_Area_Level_2_SA2_Total	P03	P03	Total
P134	Vis_fro_Diff_SA2_NSW_0_14	Visitor_from_Different_SA2_in_New_South_Wales_Age_0_14_years	P03	P03	0-14 years
P135	Vis_fr_Diff_SA2_NSW_15_24	Visitor_from_Different_SA2_in_New_South_Wales_Age_15_24_years	P03	P03	15-24 years
P136	Vis_fr_Diff_SA2_NSW_25_34	Visitor_from_Different_SA2_in_New_South_Wales_Age_25_34_years	P03	P03	25-34 years
P137	Vis_fr_Diff_SA2_NSW_35_44	Visitor_from_Different_SA2_in_New_South_Wales_Age_35_44_years	P03	P03	35-44 years
P138	Vis_fr_Diff_SA2_NSW_45_54	Visitor_from_Different_SA2_in_New_South_Wales_Age_45_54_years	P03	P03	45-54 years
P139	Vis_fr_Diff_SA2_NSW_55_64	Visitor_from_Different_SA2_in_New_South_Wales_Age_55_64_years	P03	P03	55-64 years
P140	Vis_fr_Diff_SA2_NSW_65_74	Visitor_from_Different_SA2_in_New_South_Wales_Age_65_74_years	P03	P03	65-74 years
P141	Vis_fr_Diff_SA2_NSW_75_84	Visitor_from_Different_SA2_in_New_South_Wales_Age_75_84_years	P03	P03	75-84 years
P142	Vis_fr_Diff_SA2_NSW_85	Visitor_from_Different_SA2_in_New_South_Wales_Age_85_years_and_over	P03	P03	85 years and over
P143	Vis_fr_Diff_SA2_NSW_Tot	Visitor_from_Different_SA2_in_New_South_Wales_Total	P03	P03	Total
P144	Vis_fro_Diff_SA2_Vic_0_14	Visitor_from_Different_SA2_in_Victoria_Age_0_14_years	P03	P03	0-14 years
P145	Vis_fr_Diff_SA2_Vic_15_24	Visitor_from_Different_SA2_in_Victoria_Age_15_24_years	P03	P03	15-24 years
P146	Vis_fr_Diff_SA2_Vic_25_34	Visitor_from_Different_SA2_in_Victoria_Age_25_34_years	P03	P03	25-34 years
P147	Vis_fr_Diff_SA2_Vic_35_44	Visitor_from_Different_SA2_in_Victoria_Age_35_44_years	P03	P03	35-44 years
P148	Vis_fr_Diff_SA2_Vic_45_54	Visitor_from_Different_SA2_in_Victoria_Age_45_54_years	P03	P03	45-54 years
P149	Vis_fr_Diff_SA2_Vic_55_64	Visitor_from_Different_SA2_in_Victoria_Age_55_64_years	P03	P03	55-64 years
P150	Vis_fr_Diff_SA2_Vic_65_74	Visitor_from_Different_SA2_in_Victoria_Age_65_74_years	P03	P03	65-74 years
P151	Vis_fr_Diff_SA2_Vic_75_84	Visitor_from_Different_SA2_in_Victoria_Age_75_84_years	P03	P03	75-84 years
P152	Vis_fr_Diff_SA2_Vic_85	Visitor_from_Different_SA2_in_Victoria_Age_85_years_and_over	P03	P03	85 years and over
P153	Vis_fr_Diff_SA2_Vic_Tot	Visitor_from_Different_SA2_in_Victoria_Total	P03	P03	Total
P154	Vis_fro_Diff_SA2_Qld_0_14	Visitor_from_Different_SA2_in_Queensland_Age_0_14_years	P03	P03	0-14 years
P155	Vis_fr_Diff_SA2_Qld_15_24	Visitor_from_Different_SA2_in_Queensland_Age_15_24_years	P03	P03	15-24 years
P156	Vis_fr_Diff_SA2_Qld_25_34	Visitor_from_Different_SA2_in_Queensland_Age_25_34_years	P03	P03	25-34 years
P157	Vis_fr_Diff_SA2_Qld_35_44	Visitor_from_Different_SA2_in_Queensland_Age_35_44_years	P03	P03	35-44 years
P158	Vis_fr_Diff_SA2_Qld_45_54	Visitor_from_Different_SA2_in_Queensland_Age_45_54_years	P03	P03	45-54 years
P159	Vis_fr_Diff_SA2_Qld_55_64	Visitor_from_Different_SA2_in_Queensland_Age_55_64_years	P03	P03	55-64 years
P160	Vis_fr_Diff_SA2_Qld_65_74	Visitor_from_Different_SA2_in_Queensland_Age_65_74_years	P03	P03	65-74 years
P161	Vis_fr_Diff_SA2_Qld_75_84	Visitor_from_Different_SA2_in_Queensland_Age_75_84_years	P03	P03	75-84 years
P162	Vis_fr_Diff_SA2_Qld_85	Visitor_from_Different_SA2_in_Queensland_Age_85_years_and_over	P03	P03	85 years and over
P163	Vis_fr_Diff_SA2_Qld_Tot	Visitor_from_Different_SA2_in_Queensland_Total	P03	P03	Total
P164	Vis_fro_Diff_SA2_SA_0_14	Visitor_from_Different_SA2_in_South_Australia_Age_0_14_years	P03	P03	0-14 years
P165	Vis_fr_Diff_SA2_SA_15_24	Visitor_from_Different_SA2_in_South_Australia_Age_15_24_years	P03	P03	15-24 years
P166	Vis_fr_Diff_SA2_SA_25_34	Visitor_from_Different_SA2_in_South_Australia_Age_25_34_years	P03	P03	25-34 years
P167	Vis_fr_Diff_SA2_SA_35_44	Visitor_from_Different_SA2_in_South_Australia_Age_35_44_years	P03	P03	35-44 years
P168	Vis_fr_Diff_SA2_SA_45_54	Visitor_from_Different_SA2_in_South_Australia_Age_45_54_years	P03	P03	45-54 years
P169	Vis_fr_Diff_SA2_SA_55_64	Visitor_from_Different_SA2_in_South_Australia_Age_55_64_years	P03	P03	55-64 years
P170	Vis_fr_Diff_SA2_SA_65_74	Visitor_from_Different_SA2_in_South_Australia_Age_65_74_years	P03	P03	65-74 years
P171	Vis_fr_Diff_SA2_SA_75_84	Visitor_from_Different_SA2_in_South_Australia_Age_75_84_years	P03	P03	75-84 years
P172	Vis_fr_Diff_SA2_SA_85	Visitor_from_Different_SA2_in_South_Australia_Age_85_years_and_over	P03	P03	85 years and over
P173	Vis_fr_Diff_SA2_SA_Tot	Visitor_from_Different_SA2_in_South_Australia_Total	P03	P03	Total
P174	Vis_fro_Diff_SA2_WA_0_14	Visitor_from_Different_SA2_in_Western_Australia_Age_0_14_years	P03	P03	0-14 years
P175	Vis_fr_Diff_SA2_WA_15_24	Visitor_from_Different_SA2_in_Western_Australia_Age_15_24_years	P03	P03	15-24 years
P176	Vis_fr_Diff_SA2_WA_25_34	Visitor_from_Different_SA2_in_Western_Australia_Age_25_34_years	P03	P03	25-34 years
P177	Vis_fr_Diff_SA2_WA_35_44	Visitor_from_Different_SA2_in_Western_Australia_Age_35_44_years	P03	P03	35-44 years
P178	Vis_fr_Diff_SA2_WA_45_54	Visitor_from_Different_SA2_in_Western_Australia_Age_45_54_years	P03	P03	45-54 years
P179	Vis_fr_Diff_SA2_WA_55_64	Visitor_from_Different_SA2_in_Western_Australia_Age_55_64_years	P03	P03	55-64 years
P180	Vis_fr_Diff_SA2_WA_65_74	Visitor_from_Different_SA2_in_Western_Australia_Age_65_74_years	P03	P03	65-74 years
P181	Vis_fr_Diff_SA2_WA_75_84	Visitor_from_Different_SA2_in_Western_Australia_Age_75_84_years	P03	P03	75-84 years
P182	Vis_fr_Diff_SA2_WA_85	Visitor_from_Different_SA2_in_Western_Australia_Age_85_years_and_over	P03	P03	85 years and over
P183	Vis_fr_Diff_SA2_WA_Tot	Visitor_from_Different_SA2_in_Western_Australia_Total	P03	P03	Total
P184	Vis_fro_Diff_SA2_Tas_0_14	Visitor_from_Different_SA2_in_Tasmania_Age_0_14_years	P03	P03	0-14 years
P185	Vis_fr_Diff_SA2_Tas_15_24	Visitor_from_Different_SA2_in_Tasmania_Age_15_24_years	P03	P03	15-24 years
P186	Vis_fr_Diff_SA2_Tas_25_34	Visitor_from_Different_SA2_in_Tasmania_Age_25_34_years	P03	P03	25-34 years
P187	Vis_fr_Diff_SA2_Tas_35_44	Visitor_from_Different_SA2_in_Tasmania_Age_35_44_years	P03	P03	35-44 years
P188	Vis_fr_Diff_SA2_Tas_45_54	Visitor_from_Different_SA2_in_Tasmania_Age_45_54_years	P03	P03	45-54 years
P189	Vis_fr_Diff_SA2_Tas_55_64	Visitor_from_Different_SA2_in_Tasmania_Age_55_64_years	P03	P03	55-64 years
P190	Vis_fr_Diff_SA2_Tas_65_74	Visitor_from_Different_SA2_in_Tasmania_Age_65_74_years	P03	P03	65-74 years
P191	Vis_fr_Diff_SA2_Tas_75_84	Visitor_from_Different_SA2_in_Tasmania_Age_75_84_years	P03	P03	75-84 years
P192	Vis_fr_Diff_SA2_Tas_85	Visitor_from_Different_SA2_in_Tasmania_Age_85_years_and_over	P03	P03	85 years and over
P193	Vis_fr_Diff_SA2_Tas_Tot	Visitor_from_Different_SA2_in_Tasmania_Total	P03	P03	Total
P194	Vis_fro_Diff_SA2_NT_0_14	Visitor_from_Different_SA2_in_Northern_Territory_Age_0_14_years	P03	P03	0-14 years
P195	Vis_fr_Diff_SA2_NT_15_24	Visitor_from_Different_SA2_in_Northern_Territory_Age_15_24_years	P03	P03	15-24 years
P196	Vis_fr_Diff_SA2_NT_25_34	Visitor_from_Different_SA2_in_Northern_Territory_Age_25_34_years	P03	P03	25-34 years
P197	Vis_fr_Diff_SA2_NT_35_44	Visitor_from_Different_SA2_in_Northern_Territory_Age_35_44_years	P03	P03	35-44 years
P198	Vis_fr_Diff_SA2_NT_45_54	Visitor_from_Different_SA2_in_Northern_Territory_Age_45_54_years	P03	P03	45-54 years
P199	Vis_fr_Diff_SA2_NT_55_64	Visitor_from_Different_SA2_in_Northern_Territory_Age_55_64_years	P03	P03	55-64 years
P200	Vis_fr_Diff_SA2_NT_65_74	Visitor_from_Different_SA2_in_Northern_Territory_Age_65_74_years	P03	P03	65-74 years
P201	Vis_fr_Diff_SA2_NT_75_84	Visitor_from_Different_SA2_in_Northern_Territory_Age_75_84_years	P03	P03	75-84 years
P202	Vis_fr_Diff_SA2_NT_85	Visitor_from_Different_SA2_in_Northern_Territory_Age_85_years_and_over	P03	P03	85 years and over
P203	Vis_fr_Diff_SA2_NT_Tot	Visitor_from_Different_SA2_in_Northern_Territory_Total	P03	P03	Total
P204	Vis_fro_Diff_SA2_ACT_0_14	Visitor_from_Different_SA2_in_Australian_Capital_Territory_Age_0_14_years	P03	P03	0-14 years
P205	Vis_fr_Diff_SA2_ACT_15_24	Visitor_from_Different_SA2_in_Australian_Capital_Territory_Age_15_24_years	P03	P03	15-24 years
P206	Vis_fr_Diff_SA2_ACT_25_34	Visitor_from_Different_SA2_in_Australian_Capital_Territory_Age_25_34_years	P03	P03	25-34 years
P207	Vis_fr_Diff_SA2_ACT_35_44	Visitor_from_Different_SA2_in_Australian_Capital_Territory_Age_35_44_years	P03	P03	35-44 years
P208	Vis_fr_Diff_SA2_ACT_45_54	Visitor_from_Different_SA2_in_Australian_Capital_Territory_Age_45_54_years	P03	P03	45-54 years
P209	Vis_fr_Diff_SA2_ACT_55_64	Visitor_from_Different_SA2_in_Australian_Capital_Territory_Age_55_64_years	P03	P03	55-64 years
P210	Vis_fr_Diff_SA2_ACT_65_74	Visitor_from_Different_SA2_in_Australian_Capital_Territory_Age_65_74_years	P03	P03	65-74 years
P211	Vis_fr_Diff_SA2_ACT_75_84	Visitor_from_Different_SA2_in_Australian_Capital_Territory_Age_75_84_years	P03	P03	75-84 years
P212	Vis_fr_Diff_SA2_ACT_85	Visitor_from_Different_SA2_in_Australian_Capital_Territory_Age_85_years_and_over	P03	P03	85 years and over
P213	Vis_fr_Diff_SA2_ACT_Tot	Visitor_from_Different_SA2_in_Australian_Capital_Territory_Total	P03	P03	Total
P214	Vis_fro_Diff_SA2_OT_0_14	Visitor_from_Different_SA2_in_Other_Territories_Age_0_14_years	P03	P03	0-14 years
P215	Vis_fr_Diff_SA2_OT_15_24	Visitor_from_Different_SA2_in_Other_Territories_Age_15_24_years	P03	P03	15-24 years
P216	Vis_fr_Diff_SA2_OT_25_34	Visitor_from_Different_SA2_in_Other_Territories_Age_25_34_years	P03	P03	25-34 years
P217	Vis_fr_Diff_SA2_OT_35_44	Visitor_from_Different_SA2_in_Other_Territories_Age_35_44_years	P03	P03	35-44 years
P218	Vis_fr_Diff_SA2_OT_45_54	Visitor_from_Different_SA2_in_Other_Territories_Age_45_54_years	P03	P03	45-54 years
P219	Vis_fr_Diff_SA2_OT_55_64	Visitor_from_Different_SA2_in_Other_Territories_Age_55_64_years	P03	P03	55-64 years
P220	Vis_fr_Diff_SA2_OT_65_74	Visitor_from_Different_SA2_in_Other_Territories_Age_65_74_years	P03	P03	65-74 years
P221	Vis_fr_Diff_SA2_OT_75_84	Visitor_from_Different_SA2_in_Other_Territories_Age_75_84_years	P03	P03	75-84 years
P222	Vis_fr_Diff_SA2_OT_85	Visitor_from_Different_SA2_in_Other_Territories_Age_85_years_and_over	P03	P03	85 years and over
P223	Vis_fr_Diff_SA2_OT_Tot	Visitor_from_Different_SA2_in_Other_Territories_Total	P03	P03	Total
P224	Vis_fro_Diff_SA2_TOT_0_14	Visitor_from_different_SA2_in_Total_Age_0_14_years	P03	P03	0-14 years
P225	Vis_fr_Diff_SA2_TOT_15_24	Visitor_from_different_SA2_in_Total_Age_15_24_years	P03	P03	15-24 years
P226	Vis_fr_Diff_SA2_TOT_25_34	Visitor_from_different_SA2_in_Total_Age_25_34_years	P03	P03	25-34 years
P227	Vis_fr_Diff_SA2_TOT_35_44	Visitor_from_different_SA2_in_Total_Age_35_44_years	P03	P03	35-44 years
P228	Vis_fr_Diff_SA2_TOT_45_54	Visitor_from_different_SA2_in_Total_Age_45_54_years	P03	P03	45-54 years
P229	Vis_fr_Diff_SA2_TOT_55_64	Visitor_from_different_SA2_in_Total_Age_55_64_years	P03	P03	55-64 years
P230	Vis_fr_Diff_SA2_TOT_65_74	Visitor_from_different_SA2_in_Total_Age_65_74_years	P03	P03	65-74 years
P231	Vis_fr_Diff_SA2_TOT_75_84	Visitor_from_different_SA2_in_Total_Age_75_84_years	P03	P03	75-84 years
P232	Vis_fr_Diff_SA2_TOT_85	Visitor_from_different_SA2_in_Total_Age_85_years_and_over	P03	P03	85 years and over
P233	Vis_fr_Diff_SA2_TOT_TTOT	Visitor_from_different_SA2_in_Total_Total	P03	P03	Total
P234	Vis_from_Tot_Viss_0_14_yr	Visitor_from_Total_visitors_Age_0_14_years	P03	P03	0-14 years
P235	Vis_from_Tot_Viss_15_24_yr	Visitor_from_Total_visitors_Age_15_24_years	P03	P03	15-24 years
P236	Vis_from_Tot_Viss_25_34_yr	Visitor_from_Total_visitors_Age_25_34_years	P03	P03	25-34 years
