Sequential	Short	Long	DataPack file	Profile table	Column heading description in profile
I44	A_15_24_IndigStat_nsF	Age_groups_15_24_years_Indigenous_status_not_stated_Females	I01A	I01a	Indigenous status not stated: Females
I45	A_15_24_IndigStat_nsP	Age_groups_15_24_years_Indigenous_status_not_stated_Persons	I01A	I01a	Indigenous status not stated: Persons
I46	A_15_24_TotM	Age_groups_15_24_years_Total_Males	I01A	I01a	Total: Males
I47	A_15_24_TotF	Age_groups_15_24_years_Total_Females	I01A	I01a	Total: Females
I48	A_15_24_TotP	Age_groups_15_24_years_Total_Persons	I01A	I01a	Total: Persons
I49	A_25_44_Indig_M	Age_groups_25_44_years_Indigenous_Males	I01A	I01a	Indigenous: Males
I50	A_25_44_Indig_F	Age_groups_25_44_years_Indigenous_Females	I01A	I01a	Indigenous: Females
I51	A_25_44_Indig_P	Age_groups_25_44_years_Indigenous_Persons	I01A	I01a	Indigenous: Persons
I52	A_25_44_NonInd_M	Age_groups_25_44_years_Non_Indigenous_Males	I01A	I01a	Non-Indigenous: Males
I53	A_25_44_NonInd_F	Age_groups_25_44_years_Non_Indigenous_Females	I01A	I01a	Non-Indigenous: Females
I54	A_25_44_NonInd_P	Age_groups_25_44_years_Non_Indigenous_Persons	I01A	I01a	Non-Indigenous: Persons
I55	A_25_44_IndigStat_nsM	Age_groups_25_44_years_Indigenous_status_not_stated_Males	I01A	I01a	Indigenous status not stated: Males
I56	A_25_44_IndigStat_nsF	Age_groups_25_44_years_Indigenous_status_not_stated_Females	I01A	I01a	Indigenous status not stated: Females
I57	A_25_44_IndigStat_nsP	Age_groups_25_44_years_Indigenous_status_not_stated_Persons	I01A	I01a	Indigenous status not stated: Persons
I58	A_25_44_TotM	Age_groups_25_44_years_Total_Males	I01A	I01a	Total: Males
I59	A_25_44_TotF	Age_groups_25_44_years_Total_Females	I01A	I01a	Total: Females
I60	A_25_44_TotP	Age_groups_25_44_years_Total_Persons	I01A	I01a	Total: Persons
I61	A_45_64_Indig_M	Age_groups_45_64_years_Indigenous_Males	I01A	I01a	Indigenous: Males
I62	A_45_64_Indig_F	Age_groups_45_64_years_Indigenous_Females	I01A	I01a	Indigenous: Females
I63	A_45_64_Indig_P	Age_groups_45_64_years_Indigenous_Persons	I01A	I01a	Indigenous: Persons
I64	A_45_64_NonInd_M	Age_groups_45_64_years_Non_Indigenous_Males	I01A	I01a	Non-Indigenous: Males
I65	A_45_64_NonInd_F	Age_groups_45_64_years_Non_Indigenous_Females	I01A	I01a	Non-Indigenous: Females
I66	A_45_64_NonInd_P	Age_groups_45_64_years_Non_Indigenous_Persons	I01A	I01a	Non-Indigenous: Persons
I67	A_45_64_IndigStat_nsM	Age_groups_45_64_years_Indigenous_status_not_stated_Males	I01A	I01a	Indigenous status not stated: Males
I68	A_45_64_IndigStat_nsF	Age_groups_45_64_years_Indigenous_status_not_stated_Females	I01A	I01a	Indigenous status not stated: Females
I69	A_45_64_IndigStat_nsP	Age_groups_45_64_years_Indigenous_status_not_stated_Persons	I01A	I01a	Indigenous status not stated: Persons
I70	A_45_64_TotM	Age_groups_45_64_years_Total_Males	I01A	I01a	Total: Males
I71	A_45_64_TotF	Age_groups_45_64_years_Total_Females	I01A	I01a	Total: Females
I72	A_45_64_TotP	Age_groups_45_64_years_Total_Persons	I01A	I01a	Total: Persons
I73	A_65_over_Indig_M	Age_groups_65_years_and_over_Indigenous_Males	I01A	I01a	Indigenous: Males
I74	A_65_over_Indig_F	Age_groups_65_years_and_over_Indigenous_Females	I01A	I01a	Indigenous: Females
I75	A_65_over_Indig_P	Age_groups_65_years_and_over_Indigenous_Persons	I01A	I01a	Indigenous: Persons
I76	A_65_ovr_NonInd_M	Age_groups_65_years_and_over_Non_Indigenous_Males	I01A	I01a	Non-Indigenous: Males
I77	A_65_ovr_NonInd_F	Age_groups_65_years_and_over_Non_Indigenous_Females	I01A	I01a	Non-Indigenous: Females
I78	A_65_ovr_NonInd_P	Age_groups_65_years_and_over_Non_Indigenous_Persons	I01A	I01a	Non-Indigenous: Persons
I79	A_65ove_IndigStat_nsM	Age_groups_65_years_and_over_Indigenous_status_not_stated_Males	I01A	I01a	Indigenous status not stated: Males
I80	A_65ove_IndigStat_nsF	Age_groups_65_years_and_over_Indigenous_status_not_stated_Females	I01A	I01a	Indigenous status not stated: Females
I81	A_65ove_IndigStat_nsP	Age_groups_65_years_and_over_Indigenous_status_not_stated_Persons	I01A	I01a	Indigenous status not stated: Persons
I82	A_65_ovr_TotM	Age_groups_65_years_and_over_Total_Males	I01A	I01a	Total: Males
I83	A_65_ovr_TotF	Age_groups_65_years_and_over_Total_Females	I01A	I01a	Total: Females
I84	A_65_ovr_TotP	Age_groups_65_years_and_over_Total_Persons	I01A	I01a	Total: Persons
I85	Cntd_CN_home_Indig_M	Counted_on_Census_Night_At_home_Indigenous_Males	I01A	I01a	Indigenous: Males
I86	Cntd_CN_home_Indig_F	Counted_on_Census_Night_At_home_Indigenous_Females	I01A	I01a	Indigenous: Females
I87	Cntd_CN_home_Indig_P	Counted_on_Census_Night_At_home_Indigenous_Persons	I01A	I01a	Indigenous: Persons
I88	Cntd_CN_hme_NonInd_M	Counted_on_Census_Night_At_home_Non_Indigenous_Males	I01A	I01a	Non-Indigenous: Males
I89	Cntd_CN_hme_NonInd_F	Counted_on_Census_Night_At_home_Non_Indigenous_Females	I01A	I01a	Non-Indigenous: Females
I90	Cntd_CN_hme_NonInd_P	Counted_on_Census_Night_At_home_Non_Indigenous_Persons	I01A	I01a	Non-Indigenous: Persons
I91	ctd_CN_hme_Indig_st_nsM	Counted_on_Census_Night_At_home_Indigenous_status_not_stated_Males	I01A	I01a	Indigenous status not stated: Males
I92	ctd_CN_hme_Indig_st_nsF	Counted_on_Census_Night_At_home_Indigenous_status_not_stated_Females	I01A	I01a	Indigenous status not stated: Females
I93	ctd_CN_hme_Indig_st_nsP	Counted_on_Census_Night_At_home_Indigenous_status_not_stated_Persons	I01A	I01a	Indigenous status not stated: Persons
I94	Cntd_CN_home_TotM	Counted_on_Census_Night_At_home_Total_Males	I01A	I01a	Total: Males
I95	Cntd_CN_home_TotF	Counted_on_Census_Night_At_home_Total_Females	I01A	I01a	Total: Females
I96	Cntd_CN_home_TotP	Counted_on_Census_Night_At_home_Total_Persons	I01A	I01a	Total: Persons
I97	Cntd_CN_Ewre_Aus_Indig_M	Counted_on_Census_Night_Elsewhere_in_Australia_Indigenous_Males	I01A	I01a	Indigenous: Males
I98	Cntd_CN_Ewre_Aus_Indig_F	Counted_on_Census_Night_Elsewhere_in_Australia_Indigenous_Females	I01A	I01a	Indigenous: Females
I99	Cntd_CN_Ewre_Aus_Indig_P	Counted_on_Census_Night_Elsewhere_in_Australia_Indigenous_Persons	I01A	I01a	Indigenous: Persons
I100	Ctd_CN_Ewh_Aus_No_Indi_M	Counted_on_Census_Night_Elsewhere_in_Australia_Non_Indigenous_Males	I01A	I01a	Non-Indigenous: Males
I101	Ctd_CN_Ewh_Aus_No_Indi_F	Counted_on_Census_Night_Elsewhere_in_Australia_Non_Indigenous_Females	I01A	I01a	Non-Indigenous: Females
I102	Ctd_CN_Ewh_Aus_No_Indi_P	Counted_on_Census_Night_Elsewhere_in_Australia_Non_Indigenous_Persons	I01A	I01a	Non-Indigenous: Persons
I103	Ct_CN_Ew_Au_IndSt_nsM	Counted_on_Census_Night_Elsewhere_in_Australia_Indigenous_status_not_stated_Males	I01A	I01a	Indigenous status not stated: Males
I104	Ct_CN_Ew_Au_IndSt_nsF	Counted_on_Census_Night_Elsewhere_in_Australia_Indigenous_status_not_stated_Females	I01A	I01a	Indigenous status not stated: Females
I105	Ct_CN_Ew_Au_IndSt_nsP	Counted_on_Census_Night_Elsewhere_in_Australia_Indigenous_status_not_stated_Persons	I01A	I01a	Indigenous status not stated: Persons
I106	Ctd_CN_Ewh_Aus_TotM	Counted_on_Census_Night_Elsewhere_in_Australia_Total_Males	I01A	I01a	Total: Males
I107	Ctd_CN_Ewh_Aus_TotF	Counted_on_Census_Night_Elsewhere_in_Australia_Total_Females	I01A	I01a	Total: Females
I108	Ctd_CN_Ewh_Aus_TotP	Counted_on_Census_Night_Elsewhere_in_Australia_Total_Persons	I01A	I01a	Total: Persons
I109	VfSme_SA2_Indig_M	Visitor_from_Same_Statistical_Area_Level_2_SA2_Indigenous_Males	I01A	I01a	Indigenous: Males
I110	VfSme_SA2_Indig_F	Visitor_from_Same_Statistical_Area_Level_2_SA2_Indigenous_Females	I01A	I01a	Indigenous: Females
I111	VfSme_SA2_Indig_P	Visitor_from_Same_Statistical_Area_Level_2_SA2_Indigenous_Persons	I01A	I01a	Indigenous: Persons
I112	VfSme_SA2_NonInd_M	Visitor_from_Same_Statistical_Area_Level_2_SA2_Non_Indigenous_Males	I01A	I01a	Non-Indigenous: Males
I113	VfSme_SA2_NonInd_F	Visitor_from_Same_Statistical_Area_Level_2_SA2_Non_Indigenous_Females	I01A	I01a	Non-Indigenous: Females
I114	VfSme_SA2_NonInd_P	Visitor_from_Same_Statistical_Area_Level_2_SA2_Non_Indigenous_Persons	I01A	I01a	Non-Indigenous: Persons
I115	VfSme_SA2_Indi_stat_nsM	Visitor_from_Same_Statistical_Area_Level_2_SA2_Indigenous_status_not_stated_Males	I01A	I01a	Indigenous status not stated: Males
I116	VfSme_SA2_Indi_stat_nsF	Visitor_from_Same_Statistical_Area_Level_2_SA2_Indigenous_status_not_stated_Females	I01A	I01a	Indigenous status not stated: Females
I117	VfSme_SA2_Indi_stat_nsP	Visitor_from_Same_Statistical_Area_Level_2_SA2_Indigenous_status_not_stated_Persons	I01A	I01a	Indigenous status not stated: Persons
I118	VfSme_SA2_TotM	Visitor_from_Same_Statistical_Area_Level_2_SA2_Total_Males	I01A	I01a	Total: Males
I119	VfSme_SA2_TotF	Visitor_from_Same_Statistical_Area_Level_2_SA2_Total_Females	I01A	I01a	Total: Females
I120	VfSme_SA2_TotP	Visitor_from_Same_Statistical_Area_Level_2_SA2_Total_Persons	I01A	I01a	Total: Persons
I121	VfDif_SA2_NSW_Indig_M	Visitor_from_Different_SA2_in_New_South_Wales_Indigenous_Males	I01A	I01a	Indigenous: Males
I122	VfDif_SA2_NSW_Indig_F	Visitor_from_Different_SA2_in_New_South_Wales_Indigenous_Females	I01A	I01a	Indigenous: Females
I123	VfDif_SA2_NSW_Indig_P	Visitor_from_Different_SA2_in_New_South_Wales_Indigenous_Persons	I01A	I01a	Indigenous: Persons
I124	VfDif_SA2_NSW_NonInd_M	Visitor_from_Different_SA2_in_New_South_Wales_Non_Indigenous_Males	I01A	I01a	Non-Indigenous: Males
I125	VfDif_SA2_NSW_NonInd_F	Visitor_from_Different_SA2_in_New_South_Wales_Non_Indigenous_Females	I01A	I01a	Non-Indigenous: Females
I126	VfDif_SA2_NSW_NonInd_P	Visitor_from_Different_SA2_in_New_South_Wales_Non_Indigenous_Persons	I01A	I01a	Non-Indigenous: Persons
I127	VfDif_SA2_NSW_IndSt_nsM	Visitor_from_Different_SA2_in_New_South_Wales_Indigenous_status_not_stated_Males	I01A	I01a	Indigenous status not stated: Males
I128	VfDif_SA2_NSW_IndSt_nsF	Visitor_from_Different_SA2_in_New_South_Wales_Indigenous_status_not_stated_Females	I01A	I01a	Indigenous status not stated: Females
I129	VfDif_SA2_NSW_IndSt_nsP	Visitor_from_Different_SA2_in_New_South_Wales_Indigenous_status_not_stated_Persons	I01A	I01a	Indigenous status not stated: Persons
I130	VfDif_SA2_NSW_TotM	Visitor_from_Different_SA2_in_New_South_Wales_Total_Males	I01A	I01a	Total: Males
I131	VfDif_SA2_NSW_TotF	Visitor_from_Different_SA2_in_New_South_Wales_Total_Females	I01A	I01a	Total: Females
I132	VfDif_SA2_NSW_TotP	Visitor_from_Different_SA2_in_New_South_Wales_Total_Persons	I01A	I01a	Total: Persons
I133	VfDif_SA2_Vic_Indig_M	Visitor_from_Different_SA2_in_Victoria_Indigenous_Males	I01A	I01a	Indigenous: Males
I134	VfDif_SA2_Vic_Indig_F	Visitor_from_Different_SA2_in_Victoria_Indigenous_Females	I01A	I01a	Indigenous: Females
I135	VfDif_SA2_Vic_Indig_P	Visitor_from_Different_SA2_in_Victoria_Indigenous_Persons	I01A	I01a	Indigenous: Persons
I136	VfDif_SA2_Vic_NonInd_M	Visitor_from_Different_SA2_in_Victoria_Non_Indigenous_Males	I01A	I01a	Non-Indigenous: Males
I137	VfDif_SA2_Vic_NonInd_F	Visitor_from_Different_SA2_in_Victoria_Non_Indigenous_Females	I01A	I01a	Non-Indigenous: Females
I138	VfDif_SA2_Vic_NonInd_P	Visitor_from_Different_SA2_in_Victoria_Non_Indigenous_Persons	I01A	I01a	Non-Indigenous: Persons
I139	VfDif_SA2_Vic_Ind_sta_nsM	Visitor_from_Different_SA2_in_Victoria_Indigenous_status_not_stated_Males	I01A	I01a	Indigenous status not stated: Males
I140	VfDif_SA2_Vic_Ind_sta_nsF	Visitor_from_Different_SA2_in_Victoria_Indigenous_status_not_stated_Females	I01A	I01a	Indigenous status not stated: Females
I141	VfDif_SA2_Vic_Ind_sta_nsP	Visitor_from_Different_SA2_in_Victoria_Indigenous_status_not_stated_Persons	I01A	I01a	Indigenous status not stated: Persons
I142	VfDif_SA2_Vic_TotM	Visitor_from_Different_SA2_in_Victoria_Total_Males	I01A	I01a	Total: Males
I143	VfDif_SA2_Vic_TotF	Visitor_from_Different_SA2_in_Victoria_Total_Females	I01A	I01a	Total: Females
I144	VfDif_SA2_Vic_TotP	Visitor_from_Different_SA2_in_Victoria_Total_Persons	I01A	I01a	Total: Persons
I145	VfDif_SA2_Qld_Indig_M	Visitor_from_Different_SA2_in_Queensland_Indigenous_Males	I01A	I01a	Indigenous: Males
I146	VfDif_SA2_Qld_Indig_F	Visitor_from_Different_SA2_in_Queensland_Indigenous_Females	I01A	I01a	Indigenous: Females
I147	VfDif_SA2_Qld_Indig_P	Visitor_from_Different_SA2_in_Queensland_Indigenous_Persons	I01A	I01a	Indigenous: Persons
I148	VfDif_SA2_Qld_NonInd_M	Visitor_from_Different_SA2_in_Queensland_Non_Indigenous_Males	I01A	I01a	Non-Indigenous: Males
I149	VfDif_SA2_Qld_NonInd_F	Visitor_from_Different_SA2_in_Queensland_Non_Indigenous_Females	I01A	I01a	Non-Indigenous: Females
I150	VfDif_SA2_Qld_NonInd_P	Visitor_from_Different_SA2_in_Queensland_Non_Indigenous_Persons	I01A	I01a	Non-Indigenous: Persons
I151	VfDif_SA2_Qld_IndSt_nsM	Visitor_from_Different_SA2_in_Queensland_Indigenous_status_not_stated_Males	I01A	I01a	Indigenous status not stated: Males
I152	VfDif_SA2_Qld_IndSt_nsF	Visitor_from_Different_SA2_in_Queensland_Indigenous_status_not_stated_Females	I01A	I01a	Indigenous status not stated: Females
I153	VfDif_SA2_Qld_IndSt_nsP	Visitor_from_Different_SA2_in_Queensland_Indigenous_status_not_stated_Persons	I01A	I01a	Indigenous status not stated: Persons
I154	VfDif_SA2_Qld_TotM	Visitor_from_Different_SA2_in_Queensland_Total_Males	I01A	I01a	Total: Males
I155	VfDif_SA2_Qld_TotF	Visitor_from_Different_SA2_in_Queensland_Total_Females	I01A	I01a	Total: Females
I156	VfDif_SA2_Qld_TotP	Visitor_from_Different_SA2_in_Queensland_Total_Persons	I01A	I01a	Total: Persons
I157	VfDif_SA2_SA_Indig_M	Visitor_from_Different_SA2_in_South_Australia_Indigenous_Males	I01A	I01a	Indigenous: Males
I158	VfDif_SA2_SA_Indig_F	Visitor_from_Different_SA2_in_South_Australia_Indigenous_Females	I01A	I01a	Indigenous: Females
I159	VfDif_SA2_SA_Indig_P	Visitor_from_Different_SA2_in_South_Australia_Indigenous_Persons	I01A	I01a	Indigenous: Persons
I160	VfDif_SA2_SA_NonInd_M	Visitor_from_Different_SA2_in_South_Australia_Non_Indigenous_Males	I01A	I01a	Non-Indigenous: Males
I161	VfDif_SA2_SA_NonInd_F	Visitor_from_Different_SA2_in_South_Australia_Non_Indigenous_Females	I01A	I01a	Non-Indigenous: Females
I162	VfDif_SA2_SA_NonInd_P	Visitor_from_Different_SA2_in_South_Australia_Non_Indigenous_Persons	I01A	I01a	Non-Indigenous: Persons
I163	VfDif_SA2_SA_IndSt_nsM	Visitor_from_Different_SA2_in_South_Australia_Indigenous_status_not_stated_Males	I01A	I01a	Indigenous status not stated: Males
I164	VfDif_SA2_SA_IndSt_nsF	Visitor_from_Different_SA2_in_South_Australia_Indigenous_status_not_stated_Females	I01A	I01a	Indigenous status not stated: Females
I165	VfDif_SA2_SA_IndSt_nsP	Visitor_from_Different_SA2_in_South_Australia_Indigenous_status_not_stated_Persons	I01A	I01a	Indigenous status not stated: Persons
I166	VfDif_SA2_SA_TotM	Visitor_from_Different_SA2_in_South_Australia_Total_Males	I01A	I01a	Total: Males
I167	VfDif_SA2_SA_TotF	Visitor_from_Different_SA2_in_South_Australia_Total_Females	I01A	I01a	Total: Females
I168	VfDif_SA2_SA_TotP	Visitor_from_Different_SA2_in_South_Australia_Total_Persons	I01A	I01a	Total: Persons
I169	VfDif_SA2_WA_Indig_M	Visitor_from_Different_SA2_in_Western_Australia_Indigenous_Males	I01A	I01a	Indigenous: Males
I170	VfDif_SA2_WA_Indig_F	Visitor_from_Different_SA2_in_Western_Australia_Indigenous_Females	I01A	I01a	Indigenous: Females
I171	VfDif_SA2_WA_Indig_P	Visitor_from_Different_SA2_in_Western_Australia_Indigenous_Persons	I01A	I01a	Indigenous: Persons
I172	VfDif_SA2_WA_NonInd_M	Visitor_from_Different_SA2_in_Western_Australia_Non_Indigenous_Males	I01A	I01a	Non-Indigenous: Males
I173	VfDif_SA2_WA_NonInd_F	Visitor_from_Different_SA2_in_Western_Australia_Non_Indigenous_Females	I01A	I01a	Non-Indigenous: Females
I174	VfDif_SA2_WA_NonInd_P	Visitor_from_Different_SA2_in_Western_Australia_Non_Indigenous_Persons	I01A	I01a	Non-Indigenous: Persons
I175	VfDif_SA2_WA_IndSt_nsM	Visitor_from_Different_SA2_in_Western_Australia_Indigenous_status_not_stated_Males	I01A	I01a	Indigenous status not stated: Males
I176	VfDif_SA2_WA_IndSt_nsF	Visitor_from_Different_SA2_in_Western_Australia_Indigenous_status_not_stated_Females	I01A	I01a	Indigenous status not stated: Females
I177	VfDif_SA2_WA_IndSt_nsP	Visitor_from_Different_SA2_in_Western_Australia_Indigenous_status_not_stated_Persons	I01A	I01a	Indigenous status not stated: Persons
I178	VfDif_SA2_WA_TotM	Visitor_from_Different_SA2_in_Western_Australia_Total_Males	I01A	I01a	Total: Males
I179	VfDif_SA2_WA_TotF	Visitor_from_Different_SA2_in_Western_Australia_Total_Females	I01A	I01a	Total: Females
I180	VfDif_SA2_WA_TotP	Visitor_from_Different_SA2_in_Western_Australia_Total_Persons	I01A	I01a	Total: Persons
I181	VfDif_SA2_Tas_Indig_M	Visitor_from_Different_SA2_in_Tasmania_Indigenous_Males	I01A	I01a	Indigenous: Males
I182	VfDif_SA2_Tas_Indig_F	Visitor_from_Different_SA2_in_Tasmania_Indigenous_Females	I01A	I01a	Indigenous: Females
I183	VfDif_SA2_Tas_Indig_P	Visitor_from_Different_SA2_in_Tasmania_Indigenous_Persons	I01A	I01a	Indigenous: Persons
I184	VfDif_SA2_Tas_NonInd_M	Visitor_from_Different_SA2_in_Tasmania_Non_Indigenous_Males	I01A	I01a	Non-Indigenous: Males
I185	VfDif_SA2_Tas_NonInd_F	Visitor_from_Different_SA2_in_Tasmania_Non_Indigenous_Females	I01A	I01a	Non-Indigenous: Females
I186	VfDif_SA2_Tas_NonInd_P	Visitor_from_Different_SA2_in_Tasmania_Non_Indigenous_Persons	I01A	I01a	Non-Indigenous: Persons
I187	VfDif_SA2_Tas_IndSt_nsM	Visitor_from_Different_SA2_in_Tasmania_Indigenous_status_not_stated_Males	I01A	I01a	Indigenous status not stated: Males
I188	VfDif_SA2_Tas_IndSt_nsF	Visitor_from_Different_SA2_in_Tasmania_Indigenous_status_not_stated_Females	I01A	I01a	Indigenous status not stated: Females
I189	VfDif_SA2_Tas_IndSt_nsP	Visitor_from_Different_SA2_in_Tasmania_Indigenous_status_not_stated_Persons	I01A	I01a	Indigenous status not stated: Persons
I190	VfDif_SA2_Tas_TotM	Visitor_from_Different_SA2_in_Tasmania_Total_Males	I01A	I01a	Total: Males
I191	VfDif_SA2_Tas_TotF	Visitor_from_Different_SA2_in_Tasmania_Total_Females	I01A	I01a	Total: Females
I192	VfDif_SA2_Tas_TotP	Visitor_from_Different_SA2_in_Tasmania_Total_Persons	I01A	I01a	Total: Persons
I193	VfDif_SA2_NT_Indig_M	Visitor_from_Different_SA2_in_Northern_Territory_Indigenous_Males	I01A	I01a	Indigenous: Males
I194	VfDif_SA2_NT_Indig_F	Visitor_from_Different_SA2_in_Northern_Territory_Indigenous_Females	I01A	I01a	Indigenous: Females
I195	VfDif_SA2_NT_Indig_P	Visitor_from_Different_SA2_in_Northern_Territory_Indigenous_Persons	I01A	I01a	Indigenous: Persons
I196	VfDif_SA2_NT_NonInd_M	Visitor_from_Different_SA2_in_Northern_Territory_Non_Indigenous_Males	I01A	I01a	Non-Indigenous: Males
I197	VfDif_SA2_NT_NonInd_F	Visitor_from_Different_SA2_in_Northern_Territory_Non_Indigenous_Females	I01A	I01a	Non-Indigenous: Females
I198	VfDif_SA2_NT_NonInd_P	Visitor_from_Different_SA2_in_Northern_Territory_Non_Indigenous_Persons	I01A	I01a	Non-Indigenous: Persons
I199	VfDif_SA2_NT_IndSt_nsM	Visitor_from_Different_SA2_in_Northern_Territory_Indigenous_status_not_stated_Males	I01A	I01a	Indigenous status not stated: Males
I200	VfDif_SA2_NT_IndSt_nsF	Visitor_from_Different_SA2_in_Northern_Territory_Indigenous_status_not_stated_Females	I01A	I01a	Indigenous status not stated: Females
I201	VfDif_SA2_NT_IndSt_nsP	Visitor_from_Different_SA2_in_Northern_Territory_Indigenous_status_not_stated_Persons	I01B	I01a	Indigenous status not stated: Persons
I202	VfDif_SA2_NT_TotM	Visitor_from_Different_SA2_in_Northern_Territory_Total_Males	I01B	I01a	Total: Males
I203	VfDif_SA2_NT_TotF	Visitor_from_Different_SA2_in_Northern_Territory_Total_Females	I01B	I01a	Total: Females
I204	VfDif_SA2_NT_TotP	Visitor_from_Different_SA2_in_Northern_Territory_Total_Persons	I01B	I01a	Total: Persons
I205	VfDif_SA2_ACT_Indig_M	Visitor_from_Different_SA2_in_Australian_Capital_Territory_Indigenous_Males	I01B	I01a	Indigenous: Males
I206	VfDif_SA2_ACT_Indig_F	Visitor_from_Different_SA2_in_Australian_Capital_Territory_Indigenous_Females	I01B	I01a	Indigenous: Females
I207	VfDif_SA2_ACT_Indig_P	Visitor_from_Different_SA2_in_Australian_Capital_Territory_Indigenous_Persons	I01B	I01a	Indigenous: Persons
